Epoch 0 | step 000 Loss: 0.8121444582939148 
Epoch 2 | step 000 Loss: 0.0976337417960167 
Epoch 4 | step 000 Loss: 0.08869439363479614 
Epoch 6 | step 000 Loss: 0.08620056509971619 
Epoch 8 | step 000 Loss: 0.094744972884655 
Epoch 10 | step 000 Loss: 0.09662552922964096 
Epoch 12 | step 000 Loss: 0.0803130716085434 
Epoch 14 | step 000 Loss: 0.09946654736995697 
Epoch 16 | step 000 Loss: 0.1025579497218132 
Epoch 18 | step 000 Loss: 0.08455874770879745 
Epoch 20 | step 000 Loss: 0.08139297366142273 
Epoch 22 | step 000 Loss: 0.08991754055023193 
Epoch 24 | step 000 Loss: 0.0852106511592865 
Epoch 26 | step 000 Loss: 0.0805027186870575 
Epoch 28 | step 000 Loss: 0.10389086604118347 
Epoch 30 | step 000 Loss: 0.09109765291213989 
Epoch 32 | step 000 Loss: 0.10585584491491318 
Epoch 34 | step 000 Loss: 0.09468609094619751 
Epoch 36 | step 000 Loss: 0.0730944275856018 
Epoch 38 | step 000 Loss: 0.10449135303497314 
Epoch 40 | step 000 Loss: 0.09543000906705856 
Epoch 42 | step 000 Loss: 0.09560972452163696 
Epoch 44 | step 000 Loss: 0.08479704707860947 
Epoch 46 | step 000 Loss: 0.08869008719921112 
Epoch 48 | step 000 Loss: 0.09700840711593628 
Epoch 50 | step 000 Loss: 0.0912439376115799 
Epoch 52 | step 000 Loss: 0.07904236018657684 
Epoch 54 | step 000 Loss: 0.09298747777938843 
Epoch 56 | step 000 Loss: 0.0949689969420433 
Epoch 58 | step 000 Loss: 0.0895492285490036 
Epoch 60 | step 000 Loss: 0.08973042666912079 
Epoch 62 | step 000 Loss: 0.08423324674367905 
Epoch 64 | step 000 Loss: 0.09126778692007065 
Epoch 66 | step 000 Loss: 0.09523668140172958 
Epoch 68 | step 000 Loss: 0.07855507731437683 
Epoch 70 | step 000 Loss: 0.09761457145214081 
Epoch 72 | step 000 Loss: 0.09750186651945114 
Epoch 74 | step 000 Loss: 0.08045090734958649 
Epoch 76 | step 000 Loss: 0.09930595010519028 
Epoch 78 | step 000 Loss: 0.08952810615301132 
Epoch 80 | step 000 Loss: 0.09868224710226059 
Epoch 82 | step 000 Loss: 0.10030048340559006 
Epoch 84 | step 000 Loss: 0.07982675731182098 
Epoch 86 | step 000 Loss: 0.08822901546955109 
Epoch 88 | step 000 Loss: 0.09354131668806076 
Epoch 90 | step 000 Loss: 0.08904197812080383 
Epoch 92 | step 000 Loss: 0.09734787791967392 
Epoch 94 | step 000 Loss: 0.07683902233839035 
Epoch 96 | step 000 Loss: 0.08557556569576263 
Epoch 98 | step 000 Loss: 0.08447328209877014
